Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes_Played,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,Pass_Accuracy,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Interceptions,TklW,OG,Goals_per_90,Assists_per_90,Interceptions_per_90,Performance_Score,Predicted_Score,Value_Difference
228,Thierno Barry,fr FRA,FW,Everton,eng Premier League,23.0,2002.0,34,20,1765,19.6,6,0,6,6,0,0,3,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,228,fr FRA,FW,eng Premier League,23-189,2002.0,19.6,6,35,12,34.3,1.78,0.61,0.17,0.5,0,0,287,fr FRA,FW,eng Premier League,23-189,2002.0,34,1765,52,57.7,19.6,20,75.0,3,14,18.0,0,1.38,21,28,-7,-0.36,-0.84,228,fr FRA,FW,eng Premier League,23-189,2002.0,19.6,3,0,0,39,7,12,3,5,3,0,0.3059490084985836,0.0,0.254957507082153,0.19886685552407934,0.18794197983384428,0.010924875690235064
54,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,20.0,2006.0,17,14,1133,12.6,2,1,3,2,0,0,3,1,0.24,,,,,,,,,,,,,,,,,,,,,,,,,54,ma MAR,DF,fr Ligue 1,20-012,2006.0,12.6,2,9,4,44.4,0.71,0.32,0.22,0.5,0,0,66,ma MAR,DF,fr Ligue 1,20-012,2006.0,17,1133,67,40.6,12.6,14,78.0,11,3,13.0,5,2.0,28,20,8,0.64,0.42,54,ma MAR,DF,fr Ligue 1,20-012,2006.0,12.6,3,1,0,9,7,0,2,16,9,0,0.1588702559576346,0.0794351279788173,1.2709620476610768,0.46866725507502205,0.45787165144582154,0.010795603629200512
851,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,23.0,2002.0,33,21,2052,22.8,6,2,8,5,1,1,3,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,851,es ESP,FW,es La Liga,23-299,2002.0,22.8,6,53,21,39.6,2.32,0.92,0.09,0.24,1,1,1069,es ESP,FW,es La Liga,23-299,2002.0,33,2052,62,69.1,22.8,21,80.0,10,12,30.0,0,1.18,24,31,-7,-0.31,0.18,851,es ESP,FW,es La Liga,23-299,2002.0,22.8,3,0,0,33,37,6,8,5,3,0,0.2631578947368421,0.08771929824561403,0.21929824561403508,0.19736842105263158,0.18683601209234116,0.010532408960290424
306,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,23.0,2003.0,29,12,1031,11.5,2,2,4,2,0,0,0,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,306,dk DEN,FW,fr Ligue 1,23-079,2003.0,11.5,2,19,7,36.8,1.66,0.61,0.11,0.29,0,0,381,dk DEN,FW,fr Ligue 1,23-079,2003.0,29,1031,36,37.0,11.5,12,67.0,1,17,13.0,2,1.62,18,22,-4,-0.35,-0.91,306,dk DEN,FW,fr Ligue 1,23-079,2003.0,11.5,0,0,0,16,14,8,9,0,7,0,0.17458777885548013,0.17458777885548013,0.0,0.12221144519883609,0.11212252157141314,0.010088923627422947
1207,Ardon Jashari,ch SUI,MF,Milan,it Serie A,23.0,2002.0,11,4,491,5.5,0,1,1,0,0,0,0,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,1207,ch SUI,MF,it Serie A,23-272,2002.0,5.5,0,6,2,33.3,1.1,0.37,0.0,0.0,0,0,1505,ch SUI,MF,it Serie A,23-272,2002.0,11,491,45,16.0,5.5,4,81.0,2,7,24.0,15,1.36,3,3,0,0.0,-0.74,1207,ch SUI,MF,it Serie A,23-272,2002.0,5.5,0,0,0,8,5,0,8,5,8,0,0.0,0.18329938900203666,0.9164969450101833,0.32993890020366595,0.3201307352170243,0.009808164986641665
1965,Max Oyedele,pl POL,"MF,DF",Strasbourg,fr Ligue 1,21.0,2004.0,6,4,311,3.5,1,0,1,1,0,0,2,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,1965,pl POL,"MF,DF",fr Ligue 1,21-172,2004.0,3.5,1,2,1,50.0,0.58,0.29,0.5,1.0,0,0,2466,pl POL,"MF,DF",fr Ligue 1,21-172,2004.0,6,311,52,11.5,3.5,4,74.0,2,2,7.0,2,1.83,7,8,-1,-0.29,-0.7,1965,pl POL,"MF,DF",fr Ligue 1,21-172,2004.0,3.5,2,0,0,6,5,0,0,5,2,0,0.28938906752411575,0.0,1.4469453376205788,0.54983922829582,0.5401765536288007,0.009662674667019311
701,El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham United,eng Premier League,21.0,2004.0,28,26,2364,26.3,0,5,5,0,0,0,5,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,701,sn SEN,"DF,MF",eng Premier League,21-121,2004.0,26.3,0,16,2,12.5,0.61,0.08,0.0,0.0,0,0,877,sn SEN,"DF,MF",eng Premier League,21-121,2004.0,28,2364,84,77.3,26.3,26,88.0,21,2,33.0,0,1.14,34,41,-7,-0.27,0.9,701,sn SEN,"DF,MF",eng Premier League,21-121,2004.0,26.3,5,0,0,25,22,2,87,28,17,0,0.0,0.19035532994923857,1.0659898477157361,0.3769035532994924,0.36762853570435156,0.009275017595140822
1461,Joseph Liteta,zm ZAM,MF,Cagliari,it Serie A,20.0,2006.0,4,4,264,2.9,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1461,zm ZAM,MF,it Serie A,20-065,2006.0,2.9,0,0,0,0.0,0.0,0.0,,,0,0,1832,zm ZAM,MF,it Serie A,20-065,2006.0,4,264,66,8.6,2.9,4,66.0,1,0,,21,0.5,3,6,-3,-1.02,-0.7,1461,zm ZAM,MF,it Serie A,20-065,2006.0,2.9,0,0,0,4,0,0,0,8,2,0,0.0,0.0,2.7272727272727275,0.8181818181818182,0.8089795582786914,0.009202259903126842
2334,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,22.0,2003.0,34,31,2580,28.7,3,1,4,3,0,0,4,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,2334,eng ENG,MF,eng Premier League,22-250,2003.0,28.7,3,43,12,27.9,1.5,0.42,0.07,0.25,0,0,2935,eng ENG,MF,eng Premier League,22-250,2003.0,34,2580,76,84.3,28.7,31,79.0,17,3,39.0,0,1.44,45,41,4,0.14,0.89,2334,eng ENG,MF,eng Premier League,22-250,2003.0,28.7,4,0,0,38,56,1,78,34,34,0,0.10465116279069767,0.03488372093023256,1.1860465116279069,0.40813953488372084,0.39908306291143236,0.009056471972288482
1387,Sael Kumbedi,fr FRA,"DF,MF",Wolfsburg,de Bundesliga,21.0,2005.0,21,17,1535,17.1,0,5,5,0,0,0,2,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,1387,fr FRA,"DF,MF",de Bundesliga,21-033,2005.0,17.1,0,4,0,0.0,0.23,0.0,0.0,,0,0,1727,fr FRA,"DF,MF",de Bundesliga,21-033,2005.0,21,1535,73,55.0,17.1,17,85.0,10,4,24.0,5,0.81,26,42,-16,-0.94,-0.29,1387,fr FRA,"DF,MF",de Bundesliga,21-033,2005.0,17.1,2,0,0,19,16,4,33,13,28,0,0.0,0.2931596091205212,0.762214983713355,0.31661237785016283,0.308001641861053,0.00861073598910983
1668,Hannibal Mejbri,tn TUN,MF,Burnley,eng Premier League,23.0,2003.0,23,12,990,11.0,1,3,4,1,0,0,7,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,1668,tn TUN,MF,eng Premier League,23-097,2003.0,11.0,1,14,4,28.6,1.27,0.36,0.07,0.25,0,0,2090,tn TUN,MF,eng Premier League,23-097,2003.0,23,990,43,32.4,11.0,12,71.0,3,11,13.0,2,0.78,12,22,-10,-0.91,0.13,1668,tn TUN,MF,eng Premier League,23-097,2003.0,11.0,7,0,0,17,36,3,25,7,13,0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.3090909090909091,0.30067329559253286,0.00841761349837622
299,Lorenzo Bernasconi,it ITA,MF,Atalanta,it Serie A,22.0,2003.0,23,17,1572,17.5,0,3,3,0,0,0,3,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,299,it ITA,MF,it Serie A,22-163,2003.0,17.5,0,9,1,11.1,0.52,0.06,0.0,0.0,0,0,371,it ITA,MF,it Serie A,22-163,2003.0,23,1572,68,51.4,17.5,17,83.0,13,6,26.0,10,1.91,22,9,13,0.74,0.62,299,it ITA,MF,it Serie A,22-163,2003.0,17.5,3,0,0,8,5,3,113,14,16,0,0.0,0.17175572519083968,0.8015267175572519,0.29198473282442744,0.2837522132371742,0.00823251958725324
592,Montrell Culbreath,de GER,"MF,DF",Leverkusen,de Bundesliga,18.0,2007.0,9,6,535,5.9,1,0,1,1,0,0,0,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,592,de GER,"MF,DF",de Bundesliga,18-242,2007.0,5.9,1,4,1,25.0,0.67,0.17,0.25,1.0,0,0,745,de GER,"MF,DF",de Bundesliga,18-242,2007.0,9,535,59,19.2,5.9,6,80.0,2,3,19.0,4,2.0,15,9,6,1.01,0.45,592,de GER,"MF,DF",de Bundesliga,18-242,2007.0,5.9,0,0,0,4,8,0,16,6,10,0,0.16822429906542058,0.0,1.0093457943925233,0.37009345794392523,0.3620790547741812,0.008014403169744055
2577,Lesley Ugochukwu,fr FRA,MF,Burnley,eng Premier League,22.0,2004.0,32,24,2114,23.5,3,1,4,3,0,0,3,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,2577,fr FRA,MF,eng Premier League,22-033,2004.0,23.5,3,21,7,33.3,0.89,0.3,0.14,0.43,0,0,3253,fr FRA,MF,eng Premier League,22-033,2004.0,32,2114,66,69.1,23.5,24,78.0,5,8,29.0,1,0.59,25,46,-21,-0.89,0.34,2577,fr FRA,MF,eng Premier League,22-033,2004.0,23.5,3,1,1,26,26,1,6,15,25,0,0.12771996215704826,0.04257332071901608,0.6385998107852413,0.2554399243140965,0.24768903581813195,0.0077508884959645585
2139,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,23.0,2002.0,29,29,2448,27.2,0,2,2,0,0,0,8,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,2139,de GER,MF,de Bundesliga,23-334,2002.0,27.2,0,44,13,29.5,1.62,0.48,0.0,0.0,0,0,2694,de GER,MF,de Bundesliga,23-334,2002.0,29,2448,84,87.7,27.2,29,84.0,18,0,,0,1.0,25,43,-18,-0.66,-1.71,2139,de GER,MF,de Bundesliga,23-334,2002.0,27.2,8,1,0,33,53,6,85,49,35,0,0.0,0.07352941176470588,1.801470588235294,0.5625,0.5549168627266516,0.0075831372733483615
646,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21.0,2004.0,14,12,1131,12.6,0,1,1,0,0,0,0,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,646,nl NED,DF,de Bundesliga,21-295,2004.0,12.6,0,1,0,0.0,0.08,0.0,0.0,,0,0,812,nl NED,DF,de Bundesliga,21-295,2004.0,14,1131,81,40.5,12.6,12,87.0,9,2,42.0,7,0.93,17,21,-4,-0.32,-0.1,646,nl NED,DF,de Bundesliga,21-295,2004.0,12.6,0,1,0,10,3,1,1,14,8,0,0.0,0.07957559681697612,1.1140583554376657,0.35809018567639256,0.35058292198145574,0.0075072636949368166
2495,Mathys Tel,fr FRA,"MF,FW",Tottenham Hotspur,eng Premier League,21.0,2005.0,27,9,1014,11.3,3,0,3,3,0,0,0,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,2495,fr FRA,"MF,FW",eng Premier League,21-001,2005.0,11.3,3,28,7,25.0,2.49,0.62,0.11,0.43,0,0,3151,fr FRA,"MF,FW",eng Premier League,21-001,2005.0,27,1014,38,33.1,11.3,9,75.0,2,18,19.0,7,0.89,21,20,1,0.09,0.57,2495,fr FRA,"MF,FW",eng Premier League,21-001,2005.0,11.3,0,0,0,14,19,3,68,2,11,0,0.2662721893491124,0.0,0.1775147928994083,0.15976331360946744,0.152480097377485,0.007283216231982442
2222,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23.0,2002.0,22,17,1459,16.2,0,3,3,0,0,0,4,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,2222,it ITA,DF,es La Liga,23-291,2002.0,16.2,0,4,2,50.0,0.25,0.12,0.0,0.0,0,0,2796,it ITA,DF,es La Liga,23-291,2002.0,22,1459,66,49.1,16.2,17,79.0,10,5,24.0,10,1.73,30,20,10,0.62,0.08,2222,it ITA,DF,es La Liga,23-291,2002.0,16.2,4,0,0,25,2,1,68,18,22,0,0.0,0.1850582590815627,1.1103495544893762,0.38862234407128166,0.3813442548916219,0.007278089179659775
2358,Armindo Sieb,de GER,FW,Mainz 05,de Bundesliga,23.0,2003.0,20,3,519,5.8,2,0,2,2,0,0,1,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,2358,de GER,FW,de Bundesliga,23-070,2003.0,5.8,2,17,6,35.3,2.95,1.04,0.12,0.33,0,0,2972,de GER,FW,de Bundesliga,23-070,2003.0,20,519,26,18.6,5.8,3,72.0,0,17,18.0,6,0.75,10,12,-2,-0.35,-0.03,2358,de GER,FW,de Bundesliga,23-070,2003.0,5.8,1,0,0,15,2,2,12,0,4,0,0.3468208092485549,0.0,0.0,0.13872832369942198,0.13154313420048955,0.007185189498932432
1795,Yunus Musah,us USA,MF,Atalanta,it Serie A,23.0,2002.0,16,3,450,5.0,1,0,1,1,0,0,1,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,1795,us USA,MF,it Serie A,23-150,2002.0,5.0,1,6,1,16.7,1.2,0.2,0.17,1.0,0,0,2251,us USA,MF,it Serie A,23-150,2002.0,16,450,28,14.7,5.0,3,63.0,1,13,20.0,16,2.0,4,7,-3,-0.6,-1.22,1795,us USA,MF,it Serie A,23-150,2002.0,5.0,1,0,0,6,15,2,9,4,4,0,0.2,0.0,0.8,0.32,0.3129539490500552,0.007046050949944815
2210,Tom Rothe,de GER,"MF,DF",Union Berlin,de Bundesliga,21.0,2004.0,18,7,790,8.8,1,0,1,1,0,0,1,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,2210,de GER,"MF,DF",de Bundesliga,21-181,2004.0,8.8,1,15,4,26.7,1.71,0.46,0.07,0.25,0,0,2777,de GER,"MF,DF",de Bundesliga,21-181,2004.0,18,790,44,28.3,8.8,7,81.0,3,11,20.0,1,0.89,10,19,-9,-1.03,-0.53,2210,de GER,"MF,DF",de Bundesliga,21-181,2004.0,8.8,1,1,0,9,4,2,27,19,11,0,0.11392405063291139,0.0,2.1645569620253164,0.6949367088607595,0.6881977128121113,0.006738996048648249
1768,Samir El Mourabet,ma MAR,MF,Strasbourg,fr Ligue 1,20.0,2005.0,30,23,1903,21.1,1,2,3,1,0,0,4,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,1768,ma MAR,MF,fr Ligue 1,20-204,2005.0,21.1,1,11,1,9.1,0.52,0.05,0.09,1.0,0,0,2219,ma MAR,MF,fr Ligue 1,20-204,2005.0,30,1903,63,70.5,21.1,23,75.0,8,7,24.0,0,1.53,34,22,12,0.57,0.79,1768,ma MAR,MF,fr Ligue 1,20-204,2005.0,21.1,4,0,0,22,19,3,18,26,33,0,0.04729374671571203,0.09458749343142406,1.229637414608513,0.4161849710982659,0.4097687446609592,0.006416226437306716
2291,Alisson Santos,br BRA,MF,Napoli,it Serie A,23.0,2002.0,10,5,566,6.3,3,0,3,3,0,0,0,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,2291,br BRA,MF,it Serie A,23-213,2002.0,6.3,3,22,12,54.5,3.5,1.91,0.14,0.25,0,0,2881,br BRA,MF,it Serie A,23-213,2002.0,10,566,57,18.5,6.3,5,82.0,1,5,32.0,1,2.0,13,6,7,1.11,0.68,2291,br BRA,MF,it Serie A,23-213,2002.0,6.3,0,0,0,1,5,1,31,2,7,0,0.4770318021201414,0.0,0.31802120141342755,0.28621908127208484,0.27981475230614183,0.006404328965943007
2449,Luka Sučić,hr CRO,"MF,FW",Real Sociedad,es La Liga,23.0,2002.0,17,8,762,8.5,3,1,4,3,0,0,1,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,2449,hr CRO,"MF,FW",es La Liga,23-232,2002.0,8.5,3,19,6,31.6,2.24,0.71,0.16,0.5,0,0,3092,hr CRO,"MF,FW",es La Liga,23-232,2002.0,17,762,45,25.7,8.5,8,64.0,0,9,27.0,13,1.41,16,13,3,0.35,0.48,2449,hr CRO,"MF,FW",es La Liga,23-232,2002.0,8.5,1,0,0,7,5,1,4,3,5,0,0.3543307086614173,0.11811023622047244,0.3543307086614173,0.28346456692913385,0.27706344274837663,0.006401124180757223
1049,Daouda Guindo,ml MLI,DF,Brest,fr Ligue 1,23.0,2002.0,22,16,1425,15.8,1,1,2,1,0,0,4,1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,1049,ml MLI,DF,fr Ligue 1,23-196,2002.0,15.8,1,18,5,27.8,1.14,0.32,0.06,0.2,0,0,1318,ml MLI,DF,fr Ligue 1,23-196,2002.0,22,1425,65,52.8,15.8,16,82.0,10,6,19.0,4,1.32,20,22,-2,-0.13,0.16,1049,ml MLI,DF,fr Ligue 1,23-196,2002.0,15.8,4,1,0,24,14,2,26,25,26,0,0.06315789473684211,0.06315789473684211,1.5789473684210527,0.5178947368421052,0.5115789990244357,0.006315737817669476
854,Matias Fernandez-Pardo,be BEL,"MF,FW",Lille,fr Ligue 1,21.0,2005.0,26,24,2100,23.3,8,5,13,6,2,2,4,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,854,be BEL,"MF,FW",fr Ligue 1,21-084,2005.0,23.3,8,64,29,45.3,2.74,1.24,0.09,0.21,2,2,1072,be BEL,"MF,FW",fr Ligue 1,21-084,2005.0,26,2100,81,75.3,23.3,24,84.0,12,2,38.0,2,1.73,30,23,7,0.3,-0.87,854,be BEL,"MF,FW",fr Ligue 1,21-084,2005.0,23.3,4,0,0,13,35,13,52,8,13,0,0.34285714285714286,0.2142857142857143,0.34285714285714286,0.3042857142857143,0.29805019201033356,0.006235522275380767
1606,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,23.0,2003.0,30,28,2282,25.4,1,2,3,1,0,0,6,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1606,es ESP,"DF,MF",es La Liga,23-003,2003.0,25.4,1,15,2,13.3,0.59,0.08,0.07,0.5,0,0,2016,es ESP,"DF,MF",es La Liga,23-003,2003.0,30,2282,76,76.8,25.4,28,81.0,16,2,14.0,2,1.23,32,31,1,0.04,2.0,1606,es ESP,"DF,MF",es La Liga,23-003,2003.0,25.4,6,0,0,22,26,3,34,34,34,0,0.03943908851884312,0.07887817703768624,1.340929009640666,0.44171779141104295,0.4358107673559357,0.005907024055107235
92,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22.0,2003.0,23,13,1148,12.8,3,1,4,3,0,0,2,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,92,es ESP,"FW,MF",es La Liga,22-300,2003.0,12.8,3,10,5,50.0,0.78,0.39,0.3,0.6,0,0,119,es ESP,"FW,MF",es La Liga,22-300,2003.0,23,1148,50,38.7,12.8,13,71.0,4,10,23.0,6,1.3,21,20,1,0.08,0.03,92,es ESP,"FW,MF",es La Liga,22-300,2003.0,12.8,2,0,0,15,14,2,20,10,8,0,0.23519163763066203,0.078397212543554,0.7839721254355401,0.352787456445993,0.3471037501033754,0.0056837063426176115
2654,Alexis Vossah,fr FRA,MF,Toulouse,fr Ligue 1,18.0,2008.0,21,10,951,10.6,1,1,2,1,0,0,3,1,0.19,,,,,,,,,,,,,,,,,,,,,,,,,2654,fr FRA,MF,fr Ligue 1,18-048,2008.0,10.6,1,9,2,22.2,0.85,0.19,0.11,0.5,0,0,3345,fr FRA,MF,fr Ligue 1,18-048,2008.0,21,951,45,34.1,10.6,10,73.0,2,11,20.0,6,1.24,20,14,6,0.57,0.91,2654,fr FRA,MF,fr Ligue 1,18-048,2008.0,10.6,3,1,0,14,9,0,5,5,7,0,0.0946372239747634,0.0946372239747634,0.47318611987381703,0.2082018927444795,0.20252290689710256,0.005678985847376944
542,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,de Bundesliga,22.0,2004.0,23,16,1500,16.7,1,2,3,1,0,0,4,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,542,de GER,DF,de Bundesliga,22-108,2004.0,16.7,1,4,1,25.0,0.24,0.06,0.25,1.0,0,0,681,de GER,DF,de Bundesliga,22-108,2004.0,23,1500,65,53.8,16.7,16,85.0,12,7,20.0,3,1.57,38,32,6,0.36,0.92,542,de GER,DF,de Bundesliga,22-108,2004.0,16.7,4,0,0,22,19,0,4,24,38,0,0.06,0.12,1.44,0.492,0.4864530165419425,0.005546983458057486
515,Sidiki Cherif,fr FRA,"FW,MF",Angers,fr Ligue 1,19.0,2006.0,19,14,1157,12.9,4,0,4,4,0,0,3,0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,515,fr FRA,"FW,MF",fr Ligue 1,19-134,2006.0,12.9,4,28,12,42.9,2.18,0.93,0.14,0.33,0,0,645,fr FRA,"FW,MF",fr Ligue 1,19-134,2006.0,19,1157,61,41.5,12.9,14,70.0,2,5,36.0,0,1.21,13,16,-3,-0.23,0.54,515,fr FRA,"FW,MF",fr Ligue 1,19-134,2006.0,12.9,3,0,0,15,16,11,6,6,3,0,0.3111495246326707,0.0,0.46672428694900603,0.2644770959377701,0.25907392270044255,0.00540317323732753
1812,Mahamadou Nagida,cm CMR,DF,Rennes,fr Ligue 1,20.0,2005.0,16,5,620,6.9,0,0,0,0,0,0,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1812,cm CMR,DF,fr Ligue 1,20-304,2005.0,6.9,0,12,3,25.0,1.74,0.44,0.0,0.0,0,0,2268,cm CMR,DF,fr Ligue 1,20-304,2005.0,16,620,39,22.2,6.9,5,85.0,3,11,18.0,14,2.06,13,9,4,0.58,0.25,1812,cm CMR,DF,fr Ligue 1,20-304,2005.0,6.9,2,0,0,11,7,0,9,18,9,0,0.0,0.0,2.6129032258064515,0.7838709677419354,0.7786862292365168,0.005184738505418673
1012,Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,23.0,2002.0,32,30,2665,29.6,4,3,7,4,0,0,5,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,1012,nl NED,MF,eng Premier League,23-347,2002.0,29.6,4,32,9,28.1,1.08,0.3,0.13,0.44,0,0,1275,nl NED,MF,eng Premier League,23-347,2002.0,32,2665,83,87.1,29.6,30,87.0,26,2,29.0,0,1.72,45,35,10,0.34,-0.35,1012,nl NED,MF,eng Premier League,23-347,2002.0,29.6,5,0,0,34,37,0,6,39,31,0,0.1350844277673546,0.10131332082551595,1.3170731707317074,0.47954971857410883,0.4746974339507598,0.0048522846233490236
2500,Filippo Terracciano,it ITA,DF,Cremonese,it Serie A,23.0,2003.0,32,29,2659,29.5,2,0,2,2,0,0,6,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,2500,it ITA,DF,it Serie A,23-079,2003.0,29.5,2,14,4,28.6,0.47,0.14,0.14,0.5,0,0,3157,it ITA,DF,it Serie A,23-079,2003.0,32,2659,83,86.9,29.5,29,89.0,25,3,29.0,0,0.88,22,39,-17,-0.58,1.22,2500,it ITA,DF,it Serie A,23-079,2003.0,29.5,6,0,0,16,23,0,26,50,22,2,0.06769462203836028,0.0,1.6923655509590072,0.5347875141030463,0.5299699384924189,0.004817575610627345
2628,Nikolas Veratschnig,at AUT,"MF,DF",Mainz 05,de Bundesliga,23.0,2003.0,20,6,639,7.1,0,1,1,0,0,0,3,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,2628,at AUT,"MF,DF",de Bundesliga,23-094,2003.0,7.1,0,4,1,25.0,0.56,0.14,0.0,0.0,0,0,3311,at AUT,"MF,DF",de Bundesliga,23-094,2003.0,20,639,32,22.9,7.1,6,67.0,2,14,17.0,6,1.15,9,11,-2,-0.28,0.05,2628,at AUT,"MF,DF",de Bundesliga,23-094,2003.0,7.1,3,0,0,12,9,1,20,10,11,0,0.0,0.14084507042253522,1.4084507042253522,0.46478873239436624,0.45997922792593365,0.0048095044684325905
1633,Alan Matturro,uy URU,DF,Levante,es La Liga,21.0,2004.0,17,9,842,9.4,1,0,1,1,0,0,0,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1633,uy URU,DF,es La Liga,21-199,2004.0,9.4,1,8,1,12.5,0.86,0.11,0.13,1.0,0,0,2045,uy URU,DF,es La Liga,21-199,2004.0,17,842,50,28.4,9.4,9,78.0,7,8,17.0,8,0.94,11,17,-6,-0.64,-0.35,1633,uy URU,DF,es La Liga,21-199,2004.0,9.4,0,1,0,7,9,0,0,6,12,0,0.10688836104513065,0.0,0.6413301662707839,0.23515439429928742,0.23045425997847116,0.004700134320816257
1209,Mikel Jauregizar,es ESP,MF,Athletic Club,es La Liga,22.0,2003.0,31,30,2514,27.9,2,0,2,2,0,0,5,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,1209,es ESP,MF,es La Liga,22-166,2003.0,27.9,2,32,9,28.1,1.15,0.32,0.06,0.22,0,0,1508,es ESP,MF,es La Liga,22-166,2003.0,31,2514,81,84.6,27.9,30,83.0,18,1,29.0,0,1.23,27,37,-10,-0.36,0.04,1209,es ESP,MF,es La Liga,22-166,2003.0,27.9,5,1,1,42,32,0,58,45,40,0,0.07159904534606205,0.0,1.6109785202863962,0.5119331742243437,0.5072683325289757,0.0046648416953679606
420,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23.0,2002.0,22,18,1448,16.1,1,2,3,1,0,0,5,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,420,it ITA,DF,eng Premier League,23-344,2002.0,16.1,1,28,6,21.4,1.74,0.37,0.04,0.17,0,0,518,it ITA,DF,eng Premier League,23-344,2002.0,22,1448,66,47.3,16.1,18,77.0,6,4,14.0,2,2.27,27,8,19,1.18,0.12,420,it ITA,DF,eng Premier League,23-344,2002.0,16.1,5,0,0,25,9,2,21,13,18,0,0.06215469613259668,0.12430939226519336,0.8080110497237569,0.30455801104972374,0.30003927782990564,0.004518733219818105
